"service_state";"service_icons";"host";"svc_plugin_output";"perfometer"
"OK";"NOT_CSV_EXPORTABLE";"EBD2WS001N02.ebdev.tpebroking.com";"Processes: 1, Virtual memory: 17.3 MiB, Resident memory: 29.2 MiB, CPU: 0%, Process handles: 829, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws008n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.6 MiB, Resident memory: 31.1 MiB, CPU: 0.14%, Process handles: 984, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws011n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.6 MiB, Resident memory: 29.7 MiB, CPU: <0.01%, Process handles: 863, Running for: 5 hours 48 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws0015.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.9 MiB, Resident memory: 30.2 MiB, CPU: 0.20%, Process handles: 941, Running for: 5 hours 48 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws016n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.5 MiB, Resident memory: 30.4 MiB, CPU: 0.01%, Process handles: 884, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws018n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.3 MiB, Resident memory: 31.4 MiB, CPU: <0.01%, Process handles: 927, Running for: 5 hours 51 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws020n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.7 MiB, Resident memory: 29.8 MiB, CPU: <0.01%, Process handles: 870, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws023n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.7 MiB, Resident memory: 31.3 MiB, CPU: <0.01%, Process handles: 948, Running for: 5 hours 51 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws024n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.9 MiB, Resident memory: 30.5 MiB, CPU: 0.17%, Process handles: 942, Running for: 5 hours 51 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws027n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.1 MiB, Resident memory: 30.1 MiB, CPU: 0.02%, Process handles: 851, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws031n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.3 MiB, Resident memory: 31.3 MiB, CPU: 0.02%, Process handles: 903, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws033n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.5 MiB, Resident memory: 30.0 MiB, CPU: 0.03%, Process handles: 913, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws041n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.1 MiB, Resident memory: 29.4 MiB, CPU: 0%, Process handles: 898, Running for: 5 hours 47 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws043n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.0 MiB, Resident memory: 29.2 MiB, CPU: 0%, Process handles: 896, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws050n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.3 MiB, Resident memory: 30.8 MiB, CPU: 0.11%, Process handles: 1030, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws052n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.7 MiB, Resident memory: 30.0 MiB, CPU: 0.01%, Process handles: 868, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws053n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.4 MiB, Resident memory: 29.6 MiB, CPU: 0.06%, Process handles: 873, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws054n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 16.7 MiB, Resident memory: 29.1 MiB, CPU: 0.02%, Process handles: 772, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws058n04.corp.ad.tullib.com";"Processes: 1, Virtual memory: 16.9 MiB, Resident memory: 35.5 MiB, CPU: <0.01%, Process handles: 1032, Running for: 5 hours 46 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws058n05.corp.ad.tullib.com";"Processes: 1, Virtual memory: 16.7 MiB, Resident memory: 37.1 MiB, CPU: <0.01%, Process handles: 1047, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws062n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.2 MiB, Resident memory: 29.3 MiB, CPU: 0%, Process handles: 805, Running for: 5 hours 47 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws066n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.7 MiB, Resident memory: 30.2 MiB, CPU: 0.02%, Process handles: 917, Running for: 5 hours 48 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws067n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.5 MiB, Resident memory: 29.8 MiB, CPU: 0.02%, Process handles: 845, Running for: 5 hours 51 minutes";"1 "
