"ServerName","bulletinId","kb","productName","scanState","FileName","PatchGroupName"
"njc2ws5782","MS24-10-W10-5044277","Q5044277","Windows Server 2019 Standard","MissingPatch","windows10.0-kb5044277-x64-1809.msu","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","MS24-10-MRNET-5044089","Q5044016","Windows Server 2019 Standard","MissingPatch","windows10.0-kb5044016-x64-1809.msu","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","MSRT24-10","Q890830","Windows Server 2019 Standard","MissingPatch","windows-kb890830-x64-v5.129.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","CV20133900","CV20133900","Windows Server 2019 Standard","MissingPatch","CVE-2013-3900.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","7ZIP-240812","Q7ZIP24800","7-Zip 22 x64","MissingPatch","7z2408_24.08_x64.msi","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","PSHELL7L-240828","QPS7223","PowerShell 7 LTS x64","MissingPatch","PowerShell-7.2.23-win-x64.msi","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","PSHELL7L-241023","QPS746","PowerShell 7 LTS x64","MissingPatch","PowerShell-7.4.6-win-x64.msi","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","MEDGE-241025","QMEDGE1300284956","Microsoft Edge (x64)","MissingPatch","MicrosoftEdgeEnterprise_130.0.2849.56_x64.msi","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","VMWT12-241015","QVMWT1250","VMware Tools x64","MissingPatch","VMware-tools-12.5.0-24276846-x64.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","MSVC14-241010 MSVC14-241010","QVC144033816 QVC144033816","VC++ 2015+ x86 VC++ 2015+ x64","MissingPatch MissingPatch","VMware-tools-12.5.0-24276846-x64.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws5782","MSVC14-241010 MSVC14-241010","QVC144033816 QVC144033816","VC++ 2015+ x86 VC++ 2015+ x64","MissingPatch MissingPatch","VMware-tools-12.5.0-24276846-x64.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"njc2ws6066","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-00"
"NJC1WS7043","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-04"
"NJC1WS7044","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-04"
"njc1ws5886","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-04"
"njc1ws6501","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-04"
"njc1ws7418","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","njc2ws3293\1-AMERPatch1-NJC-c4-p1-sat-04"
