"ServerName","bulletinId","kb","productName","scanState","FileName","PatchGroupName"
"hk1qvtrdsql01","CV20133900","CV20133900","Windows Server 2016 Standard","MissingPatch","CVE-2013-3900.exe","hkg1ws7001\APACPatch13-LN-c4-np-sat-00"
"HKG2WS0002","CV20133900","CV20133900","Windows Server 2019 Standard","MissingPatch","CVE-2013-3900.exe","hkg1ws7001\APACPatch13-LN-c4-np-sat-04"
"hk1pbtrdsql02","MS24-10-SQL-5046061","Q5046061","SQL Server 2017 x64","MissingPatch","sqlserver2017-kb5046061-x64.exe","hkg1ws7001\APACPatch13-LN-c4-p1-sat-04"
"hk1cvincsql02","MS19-02-VS2015-4336999_V2 MS18-07-VS2015-4336999","Q4336999 Q4336999","Microsoft Visual Studio 2015 Shell Microsoft Visual Studio 2015 Shell","MissingPatch FoundPatch","sqlserver2017-kb5046061-x64.exe","hkg1ws7001\APACPatch13-LN-c4-p1-sat-04"
"hk1pbtrdsql01","MS24-10-SQL-5046061","Q5046061","SQL Server 2017 x64","MissingPatch","sqlserver2017-kb5046061-x64.exe","hkg1ws7001\APACPatch13-LN-c4-p1-sat-04"
"SNG1WS0005","MS24-08-OFF-5002586","Q5002586","Microsoft Office Professional Plus 2016 (x64)","MissingPatch","powerpoint2016-kb5002586-fullfile-x64-glb.exe","SNG1WS7001\APACPatch2-SNG-c4-np-sat-00"
"SNG1WS0005","MS24-08-OFF-5002626","Q5002626","Microsoft Office Professional Plus 2016 (x64)","MissingPatch","outlook2016-kb5002626-fullfile-x64-glb.exe","SNG1WS7001\APACPatch2-SNG-c4-np-sat-00"
"SNG1WS0005","MS24-09-OFF-5002566","Q5002566","Microsoft Office Professional Plus 2016 (x64)","MissingPatch","publisher2016-kb5002566-fullfile-x64-glb.exe","SNG1WS7001\APACPatch2-SNG-c4-np-sat-00"
"SNG1WS0005","MS24-10-OFF-5002643","Q5002643","Microsoft Office Professional Plus 2016 (x64)","MissingPatch","excel2016-kb5002643-fullfile-x64-glb.exe","SNG1WS7001\APACPatch2-SNG-c4-np-sat-00"
"SNG1WS0065","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","SNG1WS7001\APACPatch2-SNG-c4-p1-sat-00"
"SNG1WS0060","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","SNG1WS7001\APACPatch2-SNG-c4-p1-sat-00"
"SNG1WS1000","MS24-10-W10-5044277","Q5044277","Windows Server 2019 Standard","MissingPatch","windows10.0-kb5044277-x64-1809.msu","SNG1WS7001\APACPatch2-SNG-c4-p1-sat-08"
"SNG1WS0145","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","SNG1WS7001\APACPatch2-SNG-c4-p1-sat-12"
"SNG1WS0144","MS08-069","Q954430","MSXML 4.0","MissingPatch","msxml4-KB954430.exe","SNG1WS7001\APACPatch2-SNG-c4-p1-sat-12"
"SNGPINFDCG06","MS24-07-MRNET-5041016","Q5039889","Windows Server 2022 Standard","MissingPatch","windows10.0-kb5039889-x64-ndp48.msu","SNG2WS7001\APACPatch11-DCs-c4-p1-sat-00"
"SNGPINFDCG04","MS24-07-MRNET-5041016","Q5039889","Windows Server 2022 Standard","MissingPatch","windows10.0-kb5039889-x64-ndp48.msu","SNG2WS7001\APACPatch11-DCs-c4-p1-sat-00"
"SNGPINFDCG02","MS24-07-MRNET-5041016","Q5039889","Windows Server 2022 Standard","MissingPatch","windows10.0-kb5039889-x64-ndp48.msu","SNG2WS7001\APACPatch11-DCs-c4-p1-sat-00"
"sng2ws0070","MS24-07-MRNET-5041016","Q5039889","Windows Server 2022 Standard","MissingPatch","windows10.0-kb5039889-x64-ndp48.msu","SNG2WS7001\APACPatch11-DCs-c4-p1-sat-00"
"SNG2WS0002","MS24-07-MRNET-5039885","Q5039885","Windows Server 2016 Standard","MissingPatch","windows10.0-kb5039885-x64-ndp48-1607.msu","SNG2WS7001\APACPatch11-Messaging-c4-p1-sat-04"
