"name","MissingRate","installedPatchCount","missingPatchCount","missingServicePackCount","PatchGroupName"
"LDN1WS0415","4.69%","64","3","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS071N01","5.08%","59","3","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS063N01","1.54%","65","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0459","1.89%","53","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0414","1.61%","62","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0454","2.04%","49","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS075N01","1.61%","62","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0456","1.96%","51","1","2","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS080N01","1.52%","66","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0452","1.89%","53","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS073N01","1.79%","56","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS044N01","1.49%","67","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS072N02","1.61%","62","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS055N01","1.30%","77","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS072N01","1.79%","56","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS046N01","1.52%","66","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0457","2.04%","49","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS077N01","1.69%","59","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0455","1.96%","51","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0453","1.89%","53","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS074N01","1.64%","61","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS071N02","1.54%","65","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS078N01","1.75%","57","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS081N01","1.49%","67","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS065N01","1.59%","63","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS051N01","1.54%","65","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS076N01","1.56%","64","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0416","1.52%","66","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws047n01","5.26%","19","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS042N01","1.54%","65","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS068N01","1.14%","88","1","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0308","5.16%","213","11","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0316","7.84%","51","4","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0225","4.08%","49","2","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0303","3.28%","61","2","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0239","4.17%","48","2","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0315","3.70%","54","2","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0319","3.85%","52","2","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0221","1.79%","56","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0228","0.47%","214","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0224","1.82%","55","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS028N01","1.67%","60","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0223","1.89%","53","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0307","1.56%","64","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0229","1.82%","55","1","2","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0306","1.59%","63","1","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0226","1.92%","52","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0227","1.82%","55","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0222","1.85%","54","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0230","1.67%","60","1","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0237","1.89%","53","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0240","1.92%","52","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0233","1.92%","52","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0232","1.92%","52","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0231","1.89%","53","1","2","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0236","1.92%","52","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0234","1.82%","55","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0314","1.85%","54","1","1","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0317","1.85%","54","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0241","1.82%","55","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0235","1.85%","54","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0242","1.92%","52","1","0","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS8916","4.35%","69","3","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8911","1.54%","65","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws6366","1.59%","63","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS092N01","2.27%","44","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8917","1.30%","77","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws3453","5.56%","18","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS083N01","1.75%","57","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8915","1.32%","76","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws4346","4.35%","23","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8947","2.00%","50","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws7537","5.26%","19","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws4826","5.88%","17","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8948","2.00%","50","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS104N01","3.57%","28","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS100N01","3.23%","31","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS088N01","1.75%","57","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws087n01","5.88%","17","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8942","2.04%","49","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS085N01","1.89%","53","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8946","2.00%","50","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS098N01","2.78%","36","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8944","2.00%","50","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8945","1.96%","51","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws1049","6.67%","15","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS097N01","3.23%","31","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8055","1.79%","56","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS107N01","3.23%","31","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws4625","5.26%","19","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS082N01","1.79%","56","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws6923","3.85%","26","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS084N01","1.61%","62","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0405","6.82%","44","3","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0363","4.69%","64","3","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0426","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0424","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0346","1.45%","69","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0339","0.58%","172","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0436","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0437","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0378","1.75%","57","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0323","1.45%","69","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0375","1.41%","71","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0325","2.00%","50","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0407","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0406","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0402","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0404","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0408","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0379","2.00%","50","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0435","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0326","1.54%","65","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0425","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0322","1.69%","59","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0320","1.89%","53","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0344","3.70%","27","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0362","1.43%","70","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0394","1.47%","68","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0434","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0403","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0417","2.27%","44","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0428","1.61%","62","1","0","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS0433","1.59%","63","1","1","ldn1ws7001\2-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS9862","5.71%","70","4","1","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9699","5.45%","55","3","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9005","3.92%","51","2","1","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9810","1.92%","52","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8949","2.04%","49","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9694","1.52%","66","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDNPSOLAPP03","1.32%","76","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9784","1.96%","51","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9786","1.45%","69","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9785","2.70%","37","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9758","1.10%","91","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9959","2.50%","40","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9822","1.72%","58","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9952","3.23%","31","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9680","1.89%","53","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9809","1.92%","52","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9702","1.59%","63","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDNPINFPKI01","2.78%","36","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9648","1.72%","58","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9808","2.38%","42","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS9772","0.00%","45","0","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"ldnpinfca01","","","","","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS8017","4.76%","63","3","1","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS8026","4.76%","63","3","1","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS8015","5.88%","34","2","1","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-04"
"ldn1ws5539","9.09%","22","2","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-04"
"LDN1WS057N01","1.43%","70","1","0","ldn1ws7001\3-EMEAPatch1-LDN-c4-p1-sat-04"
