"ServerName","bulletinId","kb","productName","scanState","FileName","PatchGroupName"
"LDN1WS074N01","MSRT24-11 MSRT21-02 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS071N02","MSRT24-11 MSRT21-02 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS078N01","MSRT24-11 MSRT21-03 MSRT21-05 MSRT23-10 MSRT24-03 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0453","MSRT24-11 MSRT21-02 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-03 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0457","MSRT24-11 MSRT21-02 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-03 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS077N01","MSRT24-11 MSRT21-02 MSRT21-03 MSRT23-10 MSRT24-02 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS0455","MSRT24-11 MSRT21-02 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-03 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS081N01","MSRT24-11 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-03 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard Windows Server 2019 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"ldn1ws047n01","MSRT24-11 MSRT24-04 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830","Windows Server 2022 Standard Windows Server 2022 Standard Windows Server 2022 Standard Windows Server 2022 Standard","MissingPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
"LDN1WS042N01","MSRT24-11 MSRT21-02 MSRT21-05 MSRT23-10 MSRT24-02 MSRT24-05 MSRT24-08 MSRT24-10","Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830 Q890830","Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard Windows Server 2016 Standard","MissingPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch FoundPatch","","ldn1ws7001\1-EMEAPatch1-LDN-c4-p1-sat-00"
