"service_state";"service_icons";"host_ipv4_address";"host";"service_description";"sitealias";"svc_plugin_output"
"CRIT";"NOT_CSV_EXPORTABLE";"10.8.24.92";"br00wcmastr01t.br.icap.com";"Check_MK";"AMER NonProd NJC1";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.8.28.119";"br00wfacapp01p.br.icap.com";"Check_MK";"AMER Prod NJC1";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.1 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.8.37.80";"br00wffrapp01p.br.icap.com";"Check_MK";"AMER Prod NJC1";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.1 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.8.90.28";"br01wstoapp01p.br.icap.com";"Check_MK";"AMER Prod NJC1";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.1 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.8.90.198";"br01wimsapp06p.br.icap.com";"Check_MK";"AMER Prod NJC1";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.1 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.8.90.219";"br01wimsapp09p.br.icap.com";"Check_MK";"AMER Prod NJC1";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.1 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.10.35.206";"usednicecore.us.icap.com";"Check_MK";"Local site Main";"[agent] Fetcher for host ""usednicecore.us.icap.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""usednicecore.us.icap.com"" timed out after 60 secondsCRIT, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.14.196";"euw1ws0431.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.14.206";"euw1ws0184.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.20.140";"euw1ws0025.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.133";"euw1ws0320.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.153";"euw1ws0287.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.164";"euw1ws0110.ebdev.tpebroking.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.165";"euw1ws0436.ebdev.tpebroking.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.166";"euw1ws0118.ebdev.tpebroking.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.168";"euw1ws0199.ebdev.tpebroking.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.171";"euw1ws0393.ebdev.tpebroking.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.52.182";"euw1ws0471.ebdev.tpebroking.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.17";"euw1ws9175.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.30";"euw1ws9151.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.35";"euw1ws9128.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.40";"euw1ws9435.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.41";"euw1ws9355.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.54";"euw1ws9210.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.61";"euw1ws9341.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.80";"euw1ws9326.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.87";"euw1ws9407.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.90";"euw1ws9433.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.93";"euw1ws9464.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.109";"euw1ws9214.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.113";"euw1ws9178.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.138.118";"euw1ws9173.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.16.170.5";"euw1ws0447.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.50.103.128";"hk1qbtrdsql02.lnholdings.com";"Check_MK";"APAC NonProd SNG2 (KDH)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.70.10.25";"sngpblrweb01.corp.ad.tullib.com";"Check_MK";"APAC Prod SNG1 (SG3)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.70.254.158";"hkg2ws0001.lnholdings.com";"Check_MK";"APAC Prod SNG2 (KDH)";"[agent] Fetcher for host ""hkg2ws0001.lnholdings.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""hkg2ws0001.lnholdings.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.72.48.113";"ldnpodtapp01.eur.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.74.100.168";"uk2cvcitxvdc01.lnholdings.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
