service_state,service_icons,host,svc_plugin_output,perfometer
CRIT,NOT_CSV_EXPORTABLE,dub1ws3209.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,dub1ws5220.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,tor1ws1647.corp.ad.tullib.com,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
CRIT,NOT_CSV_EXPORTABLE,tor1ws6604.corp.ad.tullib.com,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
PEND,NOT_CSV_EXPORTABLE,ldntmstest1.corp.ad.tullib.com,,
PEND,NOT_CSV_EXPORTABLE,ldnuodtrgw01.eur.ad.tullib.com,,
CRIT,NOT_CSV_EXPORTABLE,syd1ws5069.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,SEO1WS2795.CORP.AD.TULLIB.COM,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0455.ebdev.tpebroking.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws033n01.corp.ad.tullib.com,service not found,
PEND,NOT_CSV_EXPORTABLE,ldn1ws0073.corp.ad.tullib.com,,
PEND,NOT_CSV_EXPORTABLE,ldn1ws0078.corp.ad.tullib.com,,
PEND,NOT_CSV_EXPORTABLE,ldn1ws0281.corp.ad.tullib.com,,
PEND,NOT_CSV_EXPORTABLE,ldn1ws0449.corp.ad.tullib.com,,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws3964.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws9678.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00wdevweb01h.br.icap.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00wsinapp01t.br.icap.com,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
CRIT,NOT_CSV_EXPORTABLE,njc1ws6272.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,SNG1WS2529.CORP.AD.TULLIB.COM,service not found,
CRIT,NOT_CSV_EXPORTABLE,SNG1WS2780.CORP.AD.TULLIB.COM,service not found,
CRIT,NOT_CSV_EXPORTABLE,SNG1WS4422.CORP.AD.TULLIB.COM,service not found,
CRIT,NOT_CSV_EXPORTABLE,SNG1WS4545.CORP.AD.TULLIB.COM,service not found,
PEND,NOT_CSV_EXPORTABLE,ldn2ws0059,,
